Package                        .napari_sam_MIC-DKFZ  .napari_sam_v2                   .venv         napari_env  
opencv-python-headless         ❌             ❌                                4.12.0.88     4.12.0.88   
pandas                         2.3.3         2.3.2                            2.3.2         2.3.2       
pillow                         11.0.0        11.0.0                           11.0.0        11.3.0      
pims                           ❌             ❌                                0.7           ❌           
pint                           0.24.4        0.24.4                           ❌             0.25        
pip                            25.2          25.2                             ❌             25.2        
platformdirs                   4.5.0         4.4.0                            4.4.0         4.4.0       
pluggy                         ❌             ❌                                ❌             1.6.0       
pooch                          1.8.2         1.8.2                            ❌             1.8.2       
portalocker                    ❌             3.2.0                            ❌             ❌           
prompt-toolkit                 3.0.52        3.0.52                           ❌             3.0.52      
propcache                      0.4.1         ❌                                ❌             ❌           
psygnal                        0.14.2        0.14.2                           ❌             0.14.2      
pure-eval                      0.2.3         0.2.3                            ❌             0.2.3       
pyarrow                        ❌             ❌                                21.0.0        ❌           
pyconify                       0.2.1         0.2.1                            ❌             0.2.1       
pydantic                       1.10.13       2.11.9                           2.11.9        2.11.9      
pydantic-compat                0.1.2         0.1.2                            ❌             0.1.2       
pydantic-core                  2.41.1        2.33.2                           2.33.2        2.33.2      
pydantic-extra-types           ❌             ❌                                2.10.5        ❌           
pydantic-settings              ❌             ❌                                2.11.0        ❌           
pymdown-extensions             ❌             ❌                                10.16.1       ❌           
pynrrd                         ❌             ❌                                1.1.3         ❌           
pyopengl                       3.1.10        3.1.10                           ❌             3.1.10      
pyparsing                      ❌             ❌                                ❌             3.2.5       
pyperclip                      ❌             ❌                                ❌             1.10.0      
pyproject-hooks                1.2.0         1.2.0                            ❌             1.2.0       
pyqt5                          5.15.11       5.15.11                          ❌             5.15.11     
pyqt5-qt5                      5.15.2        5.15.2                           ❌             5.15.2      
pyqt5-sip                      12.17.1       12.17.0                          ❌             12.17.0     
pyqt6                          ❌             ❌                                6.9.1         ❌           
pyqt6-qt6                      ❌             ❌                                6.9.2         ❌           
pyqt6-sip                      ❌             ❌                                13.10.2       ❌           
pyqtgraph                      ❌             ❌                                0.13.7        ❌           
pytest                         ❌             ❌                                ❌             8.4.2       
python-dotenv                  ❌             ❌                                1.1.1         ❌           
pywin32                        311           311                              ❌             311         
pyyaml                         6.0.3         6.0.2                            6.0.2         6.0.2       
pyzmq                          27.1.0        27.1.0                           ❌             27.1.0      
qtconsole                      5.7.0         5.7.0                            ❌             5.7.0       
referencing                    0.37.0        0.36.2                           ❌             0.36.2      
requests                       2.32.5        2.32.5                           ❌             2.32.5      
resource-backed-dask-array     ❌             ❌                                0.1.0         ❌           
rich                           14.2.0        14.1.0                           14.1.0        14.1.0      
roifile                        ❌             ❌                                2025.5.10     2025.5.10   
roman-numerals-py              ❌             ❌                                ❌             3.1.0       
rpds-py                        0.27.1        0.27.1                           ❌             0.27.1      
ruyaml                         ❌             ❌                                0.91.0        ❌           
sam-2                          ❌             1.0                              ❌             ❌           
scikit-image                   0.25.2        0.25.2                           ❌             0.25.2      
scipy                          1.15.3        1.15.3                           1.16.2        1.16.2      
segment-anything               1.0           ❌                                1.0           1.0         
setuptools                     ❌             ❌                                80.9.0        80.9.0      
shellingham                    1.5.4         1.5.4                            ❌             1.5.4       
simpleitk                      2.5.2         ❌                                ❌             ❌           
slicerator                     ❌             ❌                                1.1.0         ❌           
sniffio                        ❌             ❌                                1.3.1         ❌           
snowballstemmer                3.0.1         3.0.1                            ❌             3.0.1       
sortedcontainers               ❌             ❌                                2.4.0         ❌           
sphinx                         4.5.0         8.1.3                            ❌             8.2.3       
sphinxcontrib-applehelp        2.0.0         2.0.0                            ❌             2.0.0       
sphinxcontrib-devhelp          2.0.0         2.0.0                            ❌             2.0.0       
sphinxcontrib-htmlhelp         2.1.0         2.1.0                            ❌             2.1.0       
sphinxcontrib-jsmath           1.0.1         1.0.1                            ❌             1.0.1       
sphinxcontrib-qthelp           2.0.0         2.0.0                            ❌             2.0.0       
sphinxcontrib-serializinghtml  2.0.0         2.0.0                            ❌             2.0.0       
stack-data                     0.6.3         0.6.3                            ❌             0.6.3       
starlette                      ❌             ❌                                0.48.0        ❌           
sympy                          1.13.3        1.13.3                           1.13.3        1.14.0      
tblib                          ❌             ❌                                3.1.0         ❌           
threadpoolctl                  ❌             ❌                                ❌             3.6.0       
tifffile                       2025.5.10     2025.5.10                        2025.9.20     2025.9.20   
tomli                          2.3.0         2.2.1                            ❌             ❌           
tomli-w                        1.2.0         1.2.0                            ❌             1.2.0       
tomlkit                        ❌             ❌                                0.13.3        ❌           
traitlets                      5.14.3        5.14.3                           ❌             5.14.3      
triangle                       20250106      20250106                         ❌             20250106    
typer                          0.19.2        0.19.2                           ❌             0.19.2      
typing-extensions              4.15.0        4.12.2                           4.12.2        4.15.0      
typing-inspection              0.4.2         0.4.1                            0.4.1         0.4.1       
uvicorn                        ❌             ❌                                0.35.0        ❌           
vispy                          0.11.0        0.15.2                           ❌             0.15.2      
wcwidth                        0.2.14        0.2.14                           ❌             0.2.14      
websockets                     ❌             ❌                                15.0.1        ❌           
win32-setctime                 ❌             ❌                                1.2.0         ❌           
wrapt                          1.17.3        1.17.3                           ❌             1.17.3      
xarray                         ❌             ❌                                2025.1.2      ❌           
xsdata                         ❌             ❌                                24.3.1        ❌           
xyzservices                    ❌             ❌                                2025.4.0      ❌           
yarl                           1.22.0        ❌                                ❌             ❌           
zarr                           2.18.3        2.18.3                           3.1.3         3.1.3       
zict                           ❌             ❌                                3.0.0         ❌           
zipp                           3.23.0        3.23.0                           3.23.0        ❌           
